id,title,original_title,original_language,language_name,release_date,release_year,release_month,decade,genres,primary_genre,num_genres,popularity,vote_average,vote_count,rating_tier,popularity_tier,budget,revenue,has_budget_data,has_revenue_data,profit,roi,runtime,primary_country,production_countries,num_spoken_languages,production_companies,overview_length,gdp_per_capita_usd,population,popularity_norm,vote_average_norm,vote_count_norm,budget_norm,revenue_norm,runtime_norm
19995,Avatar,Avatar,en,English,2009-12-16,2009,12,2000,Science Fiction|Action|Adventure,Science Fiction,3,78.0209,7.609,34663,Good,Very High,237000000.0,2923706026.0,True,True,2686706026.0,11.336312345991562,162.0,US,US|GB,2,Dune Entertainment|Lightstorm Entertainment|20th Century Fox|Ingenious Film Partners,28,47194.9500893872,306771529,1.0,0.746595744680851,0.8420630093662571,0.35974490439783924,1.0,0.6244897959183674
6435,Practical Magic,Practical Magic,en,English,1998-10-16,1998,10,1990,Romance|Fantasy|Comedy,Romance,3,76.7329,6.795,1913,Good,Very High,75000000.0,94400000.0,True,True,19400000.0,0.25866666666666666,104.0,US,US,1,Di Novi Pictures|Fortis Films|Village Roadshow Pictures|Warner Bros. Pictures,63,32853.6725949234,275854000,0.9816529443605596,0.5734042553191488,0.045322953411993674,0.11384323183370922,0.032287785566172546,0.3877551020408163
278,The Shawshank Redemption,The Shawshank Redemption,en,English,1994-09-23,1994,9,1990,Drama|Crime,Drama,2,74.5462,8.731,31330,Excellent,Very High,25000000.0,28341469.0,True,True,3341469.0,0.13365876,142.0,US,US,1,Castle Rock Entertainment,69,27694.853416234,263126000,0.9505042591379164,0.98531914893617,0.760977983213721,0.037947653881817235,0.009693677071436094,0.5428571428571428
299534,Avengers: Endgame,Avengers: Endgame,en,English,2019-04-24,2019,4,2010,Adventure|Science Fiction|Action,Adventure,3,70.7383,8.2,28665,Excellent,Very High,356000000.0,2799439100.0,True,True,2443439100.0,6.86359297752809,181.0,US,US,3,Marvel Studios,58,65227.9565911038,330226227,0.8962622147517164,0.8723404255319146,0.6961440214085878,0.5403763799233422,0.9574967779959959,0.7020408163265306
299536,Avengers: Infinity War,Avengers: Infinity War,en,English,2018-04-25,2018,4,2010,Adventure|Action|Science Fiction,Adventure,3,67.0475,8.242,32896,Excellent,Very High,300000000.0,2052415039.0,True,True,1752415039.0,5.841383463333333,149.0,US,US,2,Marvel Studios,87,62875.6661382728,328529577,0.8436882140109968,0.8812765957446809,0.7990755382556867,0.4553733326172231,0.7019909042366684,0.5714285714285714
49026,The Dark Knight Rises,The Dark Knight Rises,en,English,2012-07-17,2012,7,2010,Action|Crime|Drama|Thriller,Action,4,65.0593,7.797,24939,Good,Very High,250000000.0,1081041287.0,True,True,831041287.0,3.324165148,165.0,GB,GB|US,1,Syncopy|Legendary Pictures|Warner Bros. Pictures|DC,65,42688.3263728372,63711000,0.8153670835588729,0.7865957446808509,0.6054981145846005,0.3794777546653312,0.36975033501136695,0.636734693877551
634649,Spider-Man: No Way Home,Spider-Man: No Way Home,en,English,2021-12-15,2021,12,2020,Action|Adventure|Science Fiction,Action,3,62.6298,7.946,23117,Good,Very High,200000000.0,1921426073.0,True,True,1721426073.0,8.607130365,148.0,US,US,2,Marvel Studios|Pascal Pictures|Columbia Pictures,45,71441.2319805947,332100166,0.7807598074128943,0.8182978723404254,0.5611726067388395,0.3035821767134392,0.6571885317858286,0.5673469387755102
157336,Interstellar,Interstellar,en,English,2014-11-05,2014,11,2010,Adventure|Drama|Science Fiction,Adventure,3,62.1101,8.487,41155,Excellent,Very High,165000000.0,746606706.0,True,True,581606706.0,3.5248891272727274,169.0,GB,GB|US,1,Legendary Pictures|Syncopy|Lynda Obst Productions,33,47746.9810645521,64619000,0.7733568844192474,0.9334042553191488,1.0,0.25045527214711477,0.2553631227449342,0.6530612244897959
76341,Mad Max: Fury Road,Mad Max: Fury Road,en,English,2015-05-13,2015,5,2010,Action|Adventure|Science Fiction,Action,3,60.9558,7.637,24595,Good,Very High,150000000.0,378858340.0,True,True,228858340.0,1.5257222666666668,121.0,AU,AU|US,1,Warner Bros. Pictures|Village Roadshow Pictures|Kennedy Miller Mitchell|RatPac Entertainment,48,56970.3613028094,23815995,0.756914332924988,0.7525531914893615,0.5971293030045006,0.2276865987615472,0.1295815415564871,0.45714285714285713
24428,The Avengers,The Avengers,en,English,2012-04-25,2012,4,2010,Science Fiction|Action|Adventure,Science Fiction,3,57.5027,8.076,39724,Excellent,Very High,220000000.0,1518815515.0,True,True,1298815515.0,5.903706886363636,143.0,US,US,3,Marvel Studios,47,51708.3940614082,314339099,0.7077262756046836,0.8459574468085106,0.9651867169444106,0.333940407894196,0.5194829774709986,0.5469387755102041
