id,budget,revenue,runtime,status,tagline,production_countries,spoken_languages,production_companies
157336,165000000,746606706,169,Released,Mankind was born on Earth. It was never meant to die here.,GB|US,en,Legendary Pictures|Syncopy|Lynda Obst Productions
634649,200000000,1921426073,148,Released,Enter the Multiverse.,US,en|tl,Marvel Studios|Pascal Pictures|Columbia Pictures
278,25000000,28341469,142,Released,Fear can hold you prisoner. Hope can set you free.,US,en,Castle Rock Entertainment
299536,300000000,2052415039,149,Released,An entire universe. Once and for all.,US,en|xh,Marvel Studios
6435,75000000,94400000,104,Released,"For two sisters from a family of witches, falling in love is the trickiest spell of all.",US,en,Di Novi Pictures|Fortis Films|Village Roadshow Pictures|Warner Bros. Pictures
49026,250000000,1081041287,165,Released,The legend ends.,GB|US,en,Syncopy|Legendary Pictures|Warner Bros. Pictures|DC
19995,237000000,2923706026,162,Released,Enter the world of Pandora.,US|GB,en|es,Dune Entertainment|Lightstorm Entertainment|20th Century Fox|Ingenious Film Partners
299534,356000000,2799439100,181,Released,Avenge the fallen.,US,en|ja|xh,Marvel Studios
76341,150000000,378858340,121,Released,The future belongs to the mad.,AU|US,en,Warner Bros. Pictures|Village Roadshow Pictures|Kennedy Miller Mitchell|RatPac Entertainment
27205,160000000,839030630,148,Released,Your mind is the scene of the crime.,GB|US,en|fr|ja|sw,Warner Bros. Pictures
155,185000000,1004558444,152,Released,Some men just want to watch the world burn.,GB|US,en|zh,Warner Bros. Pictures|Legendary Pictures|Syncopy|DC
24428,220000000,1518815515,143,Released,Some assembly required.,US,en|hi|ru,Marvel Studios
671,125000000,1029374615,152,Released,Let the magic begin.,GB|US,en,Warner Bros. Pictures|Heyday Films|1492 Pictures
603,63000000,463517383,136,Released,Believe the unbelievable.,US,en,Village Roadshow Pictures|Groucho II Film Partnership|Silver Pictures|Warner Bros. Pictures
533535,200000000,1338073645,128,Released,Come together.,US,en,Marvel Studios|Maximum Effort|21 Laps Entertainment|20th Century Studios|Kevin Feige Productions|TSG Entertainment
872585,100000000,952000000,181,Released,The world forever changes.,GB|US,nl|en,Syncopy|Universal Pictures|Atlas Entertainment|Breakheart Films|Peters Creek Entertainment
324857,90000000,394884133,117,Released,Enter a universe where more than one wears the mask.,US,en|ja|es,Columbia Pictures|Lord Miller|Pascal Pictures|Sony Pictures Animation|Arad Productions|Marvel Entertainment
569094,100000000,690897910,140,Released,It's how you wear the mask that matters.,US,en|hi|it|es,Columbia Pictures|Sony Pictures Animation|Lord Miller|Pascal Pictures|Arad Productions|Marvel Entertainment
557,139000000,821708551,121,Released,Go for the ultimate spin.,US,en,Marvel Enterprises|Laura Ziskin Productions|Columbia Pictures
315635,175000000,880978185,133,Released,Homework can wait. The city can't.,US,en,Marvel Studios|Pascal Pictures|LStar Capital|Columbia Pictures
1184918,78000000,331982078,102,Released,Discover your true nature.,US,en,DreamWorks Animation
129,19000000,274925095,125,Released,Beyond the tunnel was a mysterious town.,JP,ja,Studio Ghibli|Tokuma Shoten|Nippon Television Network Corporation|Mitsubishi|dentsu|TFC|The Walt Disney Company (Japan)
693134,190000000,714844358,167,Released,Long live the fighters.,US,en,Legendary Pictures
49494,25000000,27122040,114,Released,The destiny of a soldier. The honour of a slave. The fate of an empire.,US,en,Prime Focus|Toledo Productions|Focus Features|Twins Financing|Film4 Productions
550,63000000,100853753,139,Released,Mischief. Mayhem. Soap.,DE|US,en,Fox 2000 Pictures|Regency Enterprises|Linson Entertainment|20th Century Fox|Taurus Film
414906,185000000,772775278,177,Released,Unmask the truth.,US,en,6th & Idaho Motion Picture Company|Dylan Clark Productions|DC Films|Warner Bros. Pictures
1726,140000000,585174222,126,Released,Heroes aren't born. They're built.,US,en|fa|ur|ar,Marvel Studios|Marvel Entertainment|Fairview Entertainment
496243,11363000,257591776,133,Released,Act like you own the place.,KR,en|de|ko,Barunson E&A
680,8000000,213928762,154,Released,You won’t know the facts until you’ve seen the fiction.,US,en|es|fr,Miramax|A Band Apart|Jersey Films
976912,0,0,90,Released,An erotic thriller for the Tinder generation.,GB,en,Paranoid Android Films|Proportion Productions|Mutiny Pictures|APL Film
122,94000000,1118888979,201,Released,There can be no triumph without loss. No victory without suffering. No freedom without sacrifice.,NZ|US,en,New Line Cinema|WingNut Films|The Saul Zaentz Company
673,130000000,789804554,141,Released,Something wicked this way comes.,GB|US,en,Warner Bros. Pictures|1492 Pictures|Heyday Films|P of A Productions
58,200000000,1066179747,151,Released,Captain Jack is back!,US,en|tr|el|zh,Walt Disney Pictures|Jerry Bruckheimer Films|Second Mate Productions
672,100000000,876688482,161,Released,Something evil has returned to Hogwarts!,GB|US|DE,en,Warner Bros. Pictures|Heyday Films|1492 Pictures|MIRACLE Productions
198663,34000000,348319861,113,Released,Get ready to run.,US|GB,en,Ingenious Media|The Gotham Group|Dayday Films|Temple Hill Entertainment|TSG Entertainment|20th Century Fox
862,30000000,962301978,81,Released,Hang on for the comedy that goes to infinity and beyond!,US,en,Pixar
597,200000000,2264162353,194,Released,Nothing on earth could come between them.,US,en|fr|de|sv|it|ru,Paramount Pictures|20th Century Fox|Lightstorm Entertainment
